longitude,latitude,street,city,state,phone
-85.97298,32.93534,2593 Highway 280,Alexander City,AL,(256) 215-5510
-86.51839,31.27594,324 Westgate Plz,Andalusia,AL,(334) 427-8969
-85.8266,33.668,1829 Quintard Ave,Anniston,AL,(256) 238-8147
-85.81642,33.72212,5626 Mcclellan Blvd,Anniston,AL,(256) 820-6035
-86.5037,34.33596,1143 N Brindlee Mountain Pky,Arab,AL,(256) 586-7464
-86.972149,34.80288,600 W 13th St,Athens,AL,(256) 233-0295
-87.49361,31.00622,1411 S Main St,Atmore,AL,(251) 368-2098
-85.97095,33.87955,966 Gilberts Ferry Rd,Attalla,AL,(256) 538-5370
-85.49994,32.57055,1711 S College St,Auburn,AL,(334) 887-6704
-87.7875,30.88395,620 McMeans Ave,Bay Minette,AL,(251) 947-8516
-86.91719,33.33717,3990 Methodist Cir,Bessemer,AL 35022,(205) 425-8799
-86.80384,33.41595,1482 Montgomery Hwy,Birmingham,AL 35216,(205) 823-0116
-86.63907,33.60168,1668 Gadsden Hwy,Birmingham,AL,(205) 661-2251
-86.79838,33.50668,2100 7th Ave S,Birmingham,AL,(205) 328-2586
-86.708827,33.429894,4615 Hwy 280 S,Birmingham,AL,(205) 995-9876
-86.62143,33.63979,5984 Chalkville Rd,Birmingham,AL,(205) 655-4054
-86.7197,33.53043,7755 Crestwood Blvd,Birmingham,AL,(205) 595-5482
-86.69743,33.59032,9332 Parkway E,Birmingham,AL,(205) 833-9650
-86.14925,34.1964,680 Us-431,Boaz,AL,(256) 593-7922
-87.07951,31.09967,300 South Blvd,Brewton,AL,(251) 867-4664
-86.627249,32.89267,300 Arby Dr [NEC I 65 Exit 208 at CR 28],Clanton,AL,(205) 755-8104
-87.447574,33.177351,3430 Buttermilk Rd,Cottondale,AL,(205) 553-3690
-86.84141,34.15336,1840 Cherokee Ave Sw,Cullman,AL,(256) 775-3999
-86.872974,34.207032,5890 Alabama Hwy 157,Cullman,AL,(256) 737-1091
-87.904408,30.655256,6775 US Highway 90,Daphne,AL,(251) 626-3645
-86.97318,34.56114,2120 6th Ave SE,Decatur,AL,(256) 353-0805
-86.99996,34.55928,2714 Spring Ave Sw,Decatur,AL,(256) 355-2002
-85.444695,31.269108,124 Hospitality Land,Dothan,AL,(334) 794-3899
-85.4022,31.17677,3430 S Oates St,Dothan,AL,(334) 794-0228
-85.452452,31.233868,4037 West Main St,Dothan,AL,(334) 794-8542
-85.83241,31.32477,707 Boll Weevil Cir,Enterprise,AL,(334) 308-1888
-85.145795,31.882209,815 South Eufalua Ave,Eufaula,AL,(334) 687-7759
-87.004219,31.41918,1101 Hwy 84,Evergreen,AL 36401,(251) 578-4496
-87.886274,30.52513,51 North Green Rd,Fairhope,AL,(251) 990-5115
-87.65314,34.82093,1610 Florence Blvd,Florence,AL,(256) 767-3400
-87.6359,34.83986,368 Cox Creek Pky,Florence,AL,(256) 760-4468
-86.88599,33.55358,996 Forestdale Blvd,Forestdale,AL,(205) 798-1069
-85.70071,34.46614,125 Greenhill Blvd Nw,Fort Payne,AL,(256) 997-1720
-86.806125,33.608123,227 Howell St,Fultondale,AL,(205) 808-5308
-85.99064,34.0109,198 E Meighan Blvd,Gadsden,AL,(256) 547-7897
-86.00419,33.99817,948 Rainbow Dr,Gadsden,AL,(256) 546-8865
-86.82006,33.65201,544 Fieldstown Rd,Gardendale,AL,(205) 631-8296
-88.3363647,30.4973907,12411 Creel Rd,Grand Bay,AL 36541,(251) 865-1700
-86.63979,31.84607,909 Fort Dale Rd,Greenville,AL,(334) 382-2958
-87.6885,30.26869,1551 Gulf Shores Pky,Gulf Shores,AL,(251) 968-5688
-86.31015,34.34049,1844 Gunter Ave,Guntersville,AL,(256) 582-2431
-86.48516,34.663144,6545 Hwy 431 South,Hampton Cove,AL,(256) 536-8668
-86.945241,34.448592,709 Hwy 31,Hartselle,AL 35640,(256) 773-0255
-86.5716324,34.9423218,14621 Hwy 231 N [ste D],Hazel Green,AL 35750,(258) 828-0003
-86.82207,33.45036,159 State Farm Pkwy,Homewood,AL 35209,(205) 945-8811
-86.7887,33.4811,1915 28th Ave S,Homewood,AL,(205) 871-9772
-86.784405,33.352471,110 Parkway East Dr,Hoover,AL 35244,(205) 682-6820
-86.80109,33.37884,3775 Lorna Rd,Hoover,AL 35216,(205) 985-4344
-86.98408,33.45145,105 River Square Plz,Hueytown,AL,(205) 491-8275
-86.56715,34.63711,11212 Memorial Pky Sw,Huntsville,AL,(256) 882-1112
-86.59189,34.71586,2301 Memorial Pky Sw,Huntsville,AL,(256) 534-7641
-86.59426,34.75615,2413 Memorial Pky Nw,Huntsville,AL,(256) 534-1512
-86.51879,34.78584,30 Shields Rd,Huntsville,AL,(256) 858-0681
-86.63052,34.73516,4100 University Dr Nw,Huntsville,AL,(256) 837-6301
-87.24289,33.84241,2701 Highway 78 E,Jasper,AL,(205) 384-5311
-86.519892,33.56874,2033 Village Dr,Leeds,AL,(205) 640-2606
-87.76398,30.65503,126 Flying K Rd,Loxley,AL,(251) 964-2099
-86.74167,34.75357,7785 Us 72 W,Madison,AL,(256) 864-2303
-86.74822,34.67784,8817 Madison Blvd,Madison,AL,(256) 772-7465
-88.13739,30.67577,3739 Airport Blvd,Mobile,AL,(251) 343-7170
-88.173949,30.580881,5466 Inn Rd,Mobile,AL,(251) 660-9405
-88.22379,30.68402,7750 Airport Blvd,Mobile,AL,(251) 633-3245
-86.26669,32.36387,2719 Zelda Rd,Montgomery,AL,(334) 279-1124
-86.22446,32.34493,2796 Eastern Blvd,Montgomery,AL,(334) 270-3352
-86.24753,32.38368,3853 Atlanta Hwy,Montgomery,AL,(334) 279-9286
-86.20155,32.38231,5759 Atlanta Hwy,Montgomery,AL,(334) 277-6379
-86.17007,32.359,6931 Eastchase Loop,Montgomery,AL,(334) 272-1125
-86.331602,32.326306,I-65 Exit 168 [971 W South Blvd],Montgomery,AL,(334) 288-2729
-87.667632,34.742784,2001 Woodward Ave,Muscle Shoals,AL,(256) 314-1113
-87.57445,33.23847,1734 Mcfarland Blvd,Northport,AL,(205) 333-1362
-85.40446,32.62119,2411 Gateway Dr,Opelika,AL,(334) 749-1243
-85.82742,33.61086,1005A  Highway 21 S,Oxford,AL,(256) 831-3926
-85.78533,33.60815,30 Oxford Exchange Blvd,Oxford,AL,(256) 831-9854
-85.6985803,31.5057468,3771 South US Hwy 231,Ozark,AL 36360,(334) 445-0323
-86.78461,33.33464,571 Cahaba Valley Rd,Pelham,AL 35124,(205) 403-8383
-86.27718,33.60801,160 Vaughan Ln,Pell City,AL,(205) 338-0517
-85.02879,32.46859,1127 280 Byp,Phenix City,AL,(334) 291-7636
-86.42512,32.46037,1700 E Main St,Prattville,AL,(334) 361-9244
-87.70851,30.54693,22111 State Highway 59 S,Robertsdale,AL,(251) 947-7393
-88.04595,30.87152,6109 Hwy 43,Satsuma,AL,(251) 679-6259
-86.01001,34.66846,24751 John T Reid Pkwy,Scottsboro,AL,(256) 574-3591
-88.2256383,30.7638008,3441 North Schillinger Rd,Semmes,AL 36575,(251) 649-2874
-86.23624,33.16729,811 W Ft Williams St,Sylacauga,AL,(256) 245-3444
-86.09984,33.4348,203 E Battle St,Talladega,AL,(256) 362-3986
-85.95316,31.78236,1213 Highway 231 S,Troy,AL,(334) 670-0073
-87.53757,33.20788,211 University Blvd,Tuscaloosa,AL,(205) 345-1916
-87.52666,33.19015,2240 Mcfarland Blvd E,Tuscaloosa,AL,(205) 758-3791
-87.55178,33.16603,5032 Oscar Baxter Dr,Tuscaloosa,AL,(205) 344-5701
-85.17747,32.83765,3505 20th Ave,Valley,AL,(334) 768-0210
-93.06396,34.12311,1411 Pine St,Arkadelphia,AR,(870) 246-7150
-91.64086,35.76813,1151 S Saint Louis St,Batesville,AR,(870) 307-0581
-92.58286,34.5717,900 Military Rd,Benton,AR,(501) 776-0909
-94.22098,36.38637,1202 N Walton Blvd,Bentonville,AR,(479) 273-1632
-94.18118,36.35655,2807 Se 14th St,Bentonville,AR,(479) 273-6605
-92.4983,34.62076,2903 N Reynolds Rd,Bryant,AR,(501) 847-3551
-92.02923,34.98015,10 Ryeland Dr,Cabot,AR,(501) 941-5920
-93.46362,35.45045,1227 E Market St,Clarksville,AR,(479) 705-1155
-92.43681,35.0846,414 Harkrider St,Conway,AR,(501) 327-5142
-92.41248,35.08953,810 Elsinger Blvd,Conway,AR,(501) 327-2335
-92.66568,33.22061,1000 N West Ave,El Dorado,AR,(870) 862-9900
-94.1785,36.05667,1263 W Martin Luther King Jr,Fayetteville,AR,(479) 571-2056
-94.15507,36.12452,220 E Joyce Blvd,Fayetteville,AR,(479) 582-2336
-94.42258,35.33704,4915 Towson Ave,Fort Smith,AR,(479) 646-9384
-94.35945,35.35664,6611 Rogers Ave,Fort Smith,AR,(479) 452-0094
-92.38741,35.2515,1075 Highway 65 N,Greenbrier,AR,(501) 679-7272
-94.270531,35.216742000000004,917 W Center St,Greenwood,AR,(479) 996-7441
-93.13423,36.26318,1419 Us 62/65 N,Harrison,AR,(870) 743-6739
-93.0864045,34.4912613,200 Airport Blvd,Hot Springs,AR 71913,(501) 623-8311
-93.05988,34.47944,3020 Central Ave,Hot Springs,AR,(501) 623-5902
-92.12047,34.86726,1001 W Main St N,Jacksonville,AR,(501) 982-0606
-90.6494929,35.8608187,4112 Johnson Ave,Jonesboro,AR 72401,(870) 933-6644
-90.701261,35.806312,723 E Parker Rd,Jonesboro,AR 72404,(870) 268-6868
-92.4440994,34.7576027,15510 Chenal Pkwy,Little Rock,AR 72223,(501) 217-9855
-92.3956375,34.7292213,2704 S Shackleford Rd,Little Rock,AR 72205,(501) 312-9234
-92.34413,34.67528,8212 Geyer Springs Rd,Little Rock,AR,(501) 568-2834
-92.38071,34.76062,9624 N Rodney Parham Rd,Little Rock,AR,(501) 227-4618
-94.14576,36.25221,111 S Dixieland St,Lowell,AR,(479) 770-0092
-92.402384,34.85606,105 Savannah Dr,Maumelle,AR,(501) 851-3507
-92.33921,36.35842,2811 Us 62 East,Mountain Home,AR,(870) 492-4407
-92.21378,34.78897,4560 E Mccain Blvd,North Little Rock,AR,(501) 945-4119
-92.25311,34.80423,5324 John F Kennedy Blvd,North Little Rock,AR,(501) 753-3987
-90.5069925,36.0530231,1606 W Kings Hwy,Paragould,AR 72450,(870) 573-8122
-92.006418,34.169463,5507 S Olive St,Pine Bluff,AR,(870) 536-0204
-94.17391,36.33493,3929 W Walnut St,Rogers,AR,(479) 633-0092
-94.12556,36.32965,501 S 8th St,Rogers,AR,(479) 631-2304
-93.13772,35.3028,2321 N Arkansas Ave,Russellville,AR,(479) 890-9435
-93.12281,35.2785,915 E Main St,Russellville,AR,(479) 967-2520
-91.70139,35.25036,3100 E Race Ave,Searcy,AR,(501) 279-2773
-92.18951,34.83221,3921 E Kiehl Ave,Sherwood,AR,(501) 835-2983
-94.55173,36.17513,1001 W Us 412,Siloam Springs,AR,(479) 524-5972
-94.210389,36.17582,7460 W Sunset Ave,Springdale,AR,(479) 306-4311
-94.1391,36.17698,908 S Thompson St,Springdale,AR,(479) 756-2503
-94.35607,35.47055,2234 Fayetteville Rd,Van Buren,AR,(479) 474-8888
-111.57123,33.41494,2323 W Apache Trl,Apache Junction,AZ,(480) 983-6386
-114.59787,35.10218,2320 Highway 95,Bullhead City,AZ,(928) 758-7076
-111.73476,32.87967,1220 E Florence Blvd,Casa Grande,AZ,(520) 421-0030
-111.84192,33.33755,2110 N Arizona Ave,Chandler,AZ,(480) 732-9325
-111.85884,33.26374,2900 S Alma School Rd,Chandler,AZ,(480) 821-8008
-111.96194,33.28067,7001 W Sundust Rd,Chandler,AZ,(361) 592-3089
-111.67113,32.82805,5000 S Sunland Gin Rd,Eloy,AZ,(520) 423-2105
-111.66124,35.18319,1800 S Milton Rd,Flagstaff,AZ,(928) 774-8518
-111.748646,33.296925,2889 S Market St,Gilbert,AZ,(480) 792-6659
-111.75546,33.37904,3535 E Baseline Rd,Gilbert,AZ,(480) 558-3434
-111.78963,33.36246,715 N Gilbert Rd,Gilbert,AZ,(480) 926-3536
-112.16476,33.61093,4906 W Thunderbird Rd,Glendale,AZ,(602) 843-6441
-112.18304,33.58213,5760 W Peoria Ave,Glendale,AZ,(623) 412-1416
-112.18727,33.63889,5920 W Bell Rd,Glendale,AZ,(602) 978-8180
-112.236996,33.509026,8282 West Camelback Rd,Glendale,AZ 85303,(623) 877-3550
-112.35847,33.45066,442 N Litchfield Rd,Goodyear,AZ,(623) 932-1515
-110.99491,31.85114,19220 S I 19 Frontage Rd,Green Valley,AZ,(520) 648-3211
-114.00818,35.21975,3265 E Andy Devine Ave,Kingman,AZ,(928) 757-5204
-114.34084,34.46778,240 Swanson Ave,Lake Havasu City,AZ,(928) 453-2255
-112.04298,33.0754,21600 N John Wayne Pky,Maricopa,AZ,(520) 868-6266
-111.8402,33.3957,1060 S Country Club Dr,Mesa,AZ,(480) 461-8708
-111.78934,33.45162,1923 E Mckellips Rd,Mesa,AZ,(480) 833-9314
-111.71865,33.45042,1927 N Higley Rd,Mesa,AZ,(480) 218-5097
-111.68753,33.36669,2130 S Power Rd,Mesa,AZ,(480) 985-1840
-111.685286,33.416069,6740 E Main St,Mesa,AZ 85205,(480) 981-1492
-111.870584,33.433356,953 North Dobson,Mesa,AZ,(480) 834-2961
-110.972589,32.35899,8060 N Oracle,Oro Valley,AZ,(520) 544-6003
-111.32094,34.24072,230 E State Highway 260,Payson,AZ,(928) 474-6282
-112.2552,33.57818,10320 N 91st Ave,Peoria,AZ,(623) 334-9423
-112.23743,33.65451,18735 N 83rd Ave,Peoria,AZ,(623) 825-4696
-112.07159,33.37758,119 E Baseline Rd,Phoenix,AZ,(602) 268-0910
-111.97984,33.60049,12440 N Tatum Blvd,Phoenix,AZ,(602) 996-0663
-111.97722,33.64108,17031 N Tatum Blvd,Phoenix,AZ,(602) 493-4935
-112.10706,33.68394,2220 W Deer Valley Rd,Phoenix,AZ,(623) 879-0528
-112.11082,33.48074,2402 W Thomas Rd,Phoenix,AZ,(602) 258-7112
-112.13123,33.63984,3348 W Bell Rd,Phoenix,AZ,(602) 942-6819
-111.99916,33.48058,3826 E Thomas Rd,Phoenix,AZ,(602) 957-0135
-112.13449,33.53722,6850 N 35th Ave,Phoenix,AZ,(602) 841-8129
-112.223958,33.423091,7610 West Lower Buckeye Rd,Phoenix,AZ,(623) 936-7145
-112.06251,33.64011,835 E Bell Rd,Phoenix,AZ,(602) 439-8079
-112.4884,34.56315,1265 W Iron Springs Rd,Prescott,AZ,(928) 778-7242
-112.33229,34.58521,7650 E Az 69,Prescott Valley,AZ,(928) 775-4252
-109.72939,32.83517,1720 W Thatcher Blvd,Safford,AZ,(928) 348-6912
-111.83532,33.58692,11054 N Frank Lloyd Wright Blvd,Scottsdale,AZ,(480) 657-6817
-111.92316,33.46599,7350 E Mcdowell Rd,Scottsdale,AZ,(480) 941-0543
-111.88566,33.53829,9049 E Indian Bend Rd,Scottsdale,AZ,(480) 905-1814
-110.04933,34.24693,680 W Deuce Of Clubs,Show Low,AZ,(928) 537-4413
-110.27569,31.5545,1999 E Fry Blvd,Sierra Vista,AZ,(520) 459-3838
-112.27486,33.63923,17032 N 99th Ave,Sun City,AZ,(623) 933-9551
-112.35482,33.65444,13607 W Camino Del Sol,Sun City West,AZ,(623) 546-1598
-110.0789,34.51917,875 N Main St,Taylor,AZ,(928) 536-9199
-111.96206,33.34931,1392 W Elliot Rd,Tempe,AZ,(480) 831-3010
-111.94624,33.40723,525 W Broadway Rd,Tempe,AZ,(480) 966-7085
-110.77675,32.08945,10115East Old Vail Rd,Tucson,AZ 85745,(800) 599-2729
-110.99718,32.13398,1530 W Valencia Rd,Tucson,AZ,(520) 434-2955
-110.9259,32.50249,16338 N Oracle Rd,Tucson,AZ,(520) 818-2456
-111.00678,32.25045,1893 W Grant Rd,Tucson,AZ,(520) 792-4234
-110.91744,32.15681,5275 S Palo Verde Rd,Tucson,AZ,(520) 889-7797
-110.86959,32.22179,5759 E Broadway Blvd,Tucson,AZ,(520) 747-4030
-110.83733,32.2067,7285 E 22nd St,Tucson,AZ,(520) 886-8221
-110.82303,32.2353,7920 E Speedway Blvd,Tucson,AZ,(520) 296-5171
-112.772722,34.002804,2250 North Vulture Mine Rd,Wickenburg,AZ 85390,(928) 684-4976
-114.581746,32.698623,2000 S Avenue 3 East,Yuma,AZ,(928) 317-8833
-114.62477,32.69885,2640 S 4th Ave,Yuma,AZ,(928) 726-6507
-122.80024,49.277172,2929 Barnet Highway,Coquitlam,BC V3B 5R5,(604) 468-2831
-115.75104,49.526613,1509 Cranbrook St North,Cranbrook,BC V1C 3S9,(250) 426-7554
-120.114677,50.659172,1785 East Trans Canada Highway,Kamloops,BC V2C 3Z6,(250) 372-1022
-119.445389,49.882065,16-2070 Harvey Avenue,Kelowna,BC V1Y 8P8,(250) 763-0006
-119.619403,49.834026,3031 Louie Dr Unit 401,Kelowna,BC V4T 3E2,(778) 754-5757
-118.1232,34.09708,347 E Main St,Alhambra,CA,(626) 576-8286
-117.93885,33.80298,1646 W Katella Ave,Anaheim,CA,(714) 535-1813
-122.2431,40.46794,2000 Deschutes Rd,Anderson,CA 96007,(530) 365-4507
-117.19213,34.47163,21550 Bear Valley Rd,Apple Valley,CA,(760) 240-6661
-116.07011,35.26831,72431 Baker Blvd,Baker,CA,(760) 733-4006
-119.04299,35.38401,2610 Buck Owens Blvd,Bakersfield,CA,(661) 323-9739
-119.09414,35.38365,8290 Rosedale Hwy,Bakersfield,CA,(661) 587-7314
-117.08282,34.84776,2791 Lenwood Rd,Barstow,CA,(760) 253-3337
-117.86584,33.91125,2525 E Imperial Hwy,Brea,CA,(714) 671-6888
-118.03226,33.83178,5791 Lincoln Ave,Buena Park,CA,(714) 995-8754
-117.99835,33.86157,6801 Beach Blvd,Buena Park,CA,(714) 994-0899
-118.60607,34.19772,7011 Topanga Canyon Blvd,Canoga Park,CA,(818) 703-9582
-118.456,34.41584,27590 Sierra Hwy,Canyon Country,CA,(661) 250-1562
-121.7944031,39.7152786,2485 Notre Dame Blvd,Chico,CA 95928,(530) 345-6457
-117.700264,33.9819183,4767 Chino Hills Pkwy,Chino Hills,CA 91709,(909) 393-3337
-116.967177,32.647315999999996,2244 Otay Lakes Rd,Chula Vista,CA,(619) 482-0265
-116.173984,33.714187,46155 Dillon Rd,Coachella,CA,(760) 342-6200
-122.197524,39.90677,3524 S Hwy 99 W,Corning,CA 96021,(530) 824-4646
-119.6175232,37.2551003,240 W Fitzgerald Blvd [Bldg 6001],Edwards AFB,CA 93524,(861) 258-1078
-116.93562,32.79809,325 N 2nd St,El Cajon,CA,(619) 579-5162
-117.0905762,33.1291504,320 West Mission Ave,Escondido,CA 92025,(760) 747-1290
-122.125723,38.221051,4445 Central Place,Fairfield,CA 94534,(707) 863-0890
-117.66272,33.67872,26801 Portola Pky,Foothill Ranch,CA,(949) 830-8862
-119.755019,36.794342,4181 E Ashlan Ave,Fresno,CA,(559) 222-6939
-119.790039,36.830855,6410 N Blackstone Ave,Fresno,CA,(559) 431-7006
-118.010971,33.787783,12022 Knott St,Garden Grove,CA,(714) 230-8438
-119.656843,36.328227,824 W Lacey Blvd,Hanford,CA,(559) 582-1830
-117.00254,33.74722,2915 W Florida Ave,Hemet,CA,(909) 658-0412
-117.37652,34.42681,13140 Main St,Hesperia,CA,(760) 244-5000
-118.318714,34.09794,5920 W Sunset Blvd,Hollywood,CA,(323) 460-4000
-117.9543,33.68604,19051 Brookhurst St,Huntington Beach,CA,(714) 964-5877
-117.99016,33.73,7942 Edinger Ave,Huntington Beach,CA,(714) 842-5280
-118.37223,33.96108,913 W Manchester Blvd,Inglewood,CA,(310) 645-8626
-117.82639,33.69244,76 Corporate Park,Irvine,CA,(949) 250-3262
-117.7072754,33.6163368,23862 Bridger Rd,Lake Forest,CA 92630,(949) 581-1082
-116.92999,32.85635,12136 Woodside Ave,Lakeside,CA,(619) 390-0369
-118.11646,33.85814,5920 South St,Lakewood,CA,(562) 867-2883
-118.9482511,34.9847888,5821 Dennis Mccarthy Dr,Lebec,CA 93243,(661) 663-4341
-121.3936854,38.1187022,15244 N Thornton Rd,Lodi,CA 95242,(800) 599-2729
-118.18489,33.8224,3602 Atlantic Ave,Long Beach,CA,(562) 427-9575
-119.658767,35.616258,21948 Highway 46,Lost Hills,CA,(661) 797-1800
-118.46696,34.26984,11010 Sepulveda Blvd,Mission Hills,CA,(818) 361-7279
-121.03266,37.68961,2100 Standiford Ave,Modesto,CA,(209) 529-5924
-117.19879,33.55559,25251 Madison Ave,Murrieta,CA,(909) 461-1161
-118.374272,34.164713,5166 Lankershim Blvd,North Hollywood,CA 91601,(818) 362-6000
-117.36606,33.20313,1863 Mission Ave,Oceanside,CA,(760) 722-8467
-117.593724,34.029562,2410 South Archibald Ave,Ontario,CA 91761,(909) 923-0528
-117.8351974,33.8061409,1107 N Tustin,Orange,CA 92867,(714) 538-5407
-116.39497,33.72135,72795 Ca 111,Palm Desert,CA,(760) 779-0604
-118.14869,34.60201,1037 Rancho Vista Blvd,Palmdale,CA,(661) 947-5299
-121.26577,38.59084,3090 Sunrise Blvd,Rancho Cordova,CA,(916) 638-8897
-122.22784,40.161633,1065 S Main St,Red Bluff,CA 96080,(530) 529-5640
-122.378668,40.609717,65 Lake Blvd,Redding,CA 96002,(530) 246-2421
-117.20206,34.06272,1245 W Colton Ave,Redlands,CA,(909) 335-2729
-118.3849869,33.8238144,1212 South Pacific Coast Hwy,Redondo Beach,CA 90277,(310) 947-2751
-118.5359,34.19478,6850 Reseda Blvd,Reseda,CA,(818) 343-0568
-117.66967,35.63565,830 N China Lake Blvd,Ridgecrest,CA,(760) 375-7572
-121.14144,37.75463,1553 Colony Rd,Ripon,CA,(209) 599-7560
-117.45969,33.91435,10160 Hole Ave,Riverside,CA,(909) 359-5662
-121.226026,38.788329,4400 Rocklin Rd,Rocklin,CA,(916) 624-5442
-122.71362,38.36624,4799 Redwood Dr,Rohnert Park,CA,(707) 585-8459
-121.41291,38.59594,2238 Arden Way,Sacramento,CA,(916) 920-3480
-121.49805,38.62704,3291 Truxel Rd,Sacramento,CA,(916) 646-9093
-121.32892,38.66089,5845 Madison Ave,Sacramento,CA,(916) 344-8381
-117.29425,34.08842,670 S E St,San Bernardino,CA,(909) 381-5119
-117.21745,32.7534,3777 Midway Dr,San Diego,CA,(619) 226-8174
-117.09756,32.78799,6225 Mission Gorge Rd,San Diego,CA,(619) 282-9970
-117.16357000000001,32.83279,7110 Clairemont Mesa Blvd,San Diego,CA,(858) 292-1174
-121.95247,37.32315,3158 Stevens Creek Blvd,San Jose,CA,(408) 249-4259
-117.19742,33.13249,1280 W San Marcos Blvd,San Marcos,CA,(760) 471-8771
-120.43592,34.9183,2326 S Broadway,Santa Maria,CA,(805) 922-7207
-122.73688,38.47985,919 Hopper Ave,Santa Rosa,CA,(707) 526-4603
-118.77186,34.27119,1408 East Los Angeles Ave,Simi Valley,CA 93065,(805) 638-0233
-121.31887,38.00732,6248 Pacific Ave,Stockton,CA,(209) 954-0929
-122.05654,37.37365,601 S Bernardo Ave,Sunnyvale,CA,(408) 733-6434
-118.4400386,34.3000623,12659 Glenoaks Blvd,Sylmar,CA 91342,(818) 438-5202
-117.1589,33.51358,27702 Jefferson Ave,Temecula,CA,(909) 676-1432
-118.85856,34.17855,1140 E Thousand Oaks Blvd,Thousand Oaks,CA,(805) 497-6999
-118.30399,33.81544,1525 W Sepulveda Blvd,Torrance,CA,(310) 530-9148
-121.4361,37.76154,745 W Clover Rd,Tracy,CA,(209) 835-5484
-121.9480496,38.2705664,461 Skymaster Circle,Travis AFB,CA 94535,(707) 437-4490
-117.821764,33.738235,13982 Newport,Tustin,CA,(714) 838-3830
-117.63366,34.10733,1299 E Foothill Blvd,Upland,CA,(909) 920-4228
-119.24567,34.26464,3550 E Main St,Ventura,CA,(805) 644-9500
-117.4076996,34.4797974,14689 Lapaz Dr,Victorville,CA 92392,(760) 951-0900
-117.3335,34.47067,15122 Bear Valley Rd,Victorville,CA,(760) 952-2606
-119.338183,36.326831,4225 W Noble Ave,Visalia,CA,(559) 627-6702
-116.4074562,34.1255642,57622 29 Palms Hwy,Yucca Valley,CA 92284,(760) 228-0104
-105.881893,37.469846,1705 Main St,Alamosa,CO,(719) 589-2747
-105.08138,39.80207,5800 Wadsworth Blvd,Arvada,CO,(303) 424-4390
-105.08167,39.84149,7990 Wadsworth Blvd,Arvada,CO,(303) 432-0073
-104.82401,39.69693,1099 S Blackhawk St,Aurora,CO,(303) 368-8439
-104.8204996,39.5949894,14475 E Arapahoe Rd,Aurora,CO 80016,(303) 693-2119
-104.79122,39.63322,4350 S Buckley Rd,Aurora,CO,(303) 693-6842
-104.82832,39.97208,15190 Brighton Rd,Brighton,CO,(303) 637-7103
-104.777323,39.9598,2133 Prairie Center Pkwy,Brighton,CO 80601,(303) 659-4553
-105.09419,39.91856,300 Alter St,Broomfield,CO,(303) 466-4133
-102.278589,39.297984,300 S Lincoln St,Burlington,CO,(719) 346-5484
-104.87051,39.41015,742 Genoa Way,Castle Rock,CO,(303) 663-3957
-104.75759,38.85167,1312 N Academy Blvd,Colorado Springs,CO,(719) 574-7782
-104.80016,38.79344,1680 E Cheyenne Mountain Blvd,Colorado Springs,CO,(719) 579-0536
-104.81582,38.87439,328 E Fillmore St,Colorado Springs,CO,(719) 636-3086
